Device,Location,Connection,Ping (ms),Down (Mbps),Up (Mbps)
Desktop,Bedroom,Wired,3,795.05,907.77
Laptop,Bedroom,Wifi,6,260.81,278.25
Phone,Bedroom,Wifi,2,211,289
Laptop,Access Point,Wifi,5,247.43,220.33
Phone,Access Point,Wifi,2,210,296
Laptop,Living Room,Wifi,5,251.16,216.31
Phone,Living Room,Wifi,2,211,287
Laptop,Balcony,Wifi,5,129.86,129.79
Phone,Balcony,Wifi,3,2.32,0.80
Laptop,Master,Wired,4,692.91,465.47
Laptop,Master,Wifi,5,169.30,172.57
Phone,Master,Wifi,2,133,118
Laptop,Bedroom 2,Wifi,6,159.32,222.34
Phone,Bedroom 2,Wifi,2,182,250
